Article No.,Title,Year,Author Number,Key Words,Citation,Source,Abstract,Type
41,Mutual Benefits: Interdisciplinary Education of Pre-Service Teachers and HCI Students in VR/AR Learning Environment Design,2021,4,"interdisciplinary education, virtual reality, augmented reality, serious games, learning environments, teacher education",6,FRONTIERS IN EDUCATION,"The successful development and classroom integration of Virtual (VR) and Augmented Reality (AR) learning environments requires competencies and content knowledge with respect to media didactics and the respective technologies. The paper discusses a pedagogical concept specifically aiming at the interdisciplinary education of pre-service teachers in collaboration with human-computer interaction students. The students' overarching goal is the interdisciplinary realization and integration of VR/AR learning environments in teaching and learning concepts. To assist this approach, we developed a specific tutorial guiding the developmental process. We evaluate and validate the effectiveness of the overall pedagogical concept by analyzing the change in attitudes regarding 1) the use of VR/AR for educational purposes and in competencies and content knowledge regarding 2) media didactics and 3) technology. Our results indicate a significant improvement in the knowledge of media didactics and technology. We further report on four STEM learning environments that have been developed during the seminar.",Journal
42,ARbis Pictus: A Study of Vocabulary Learning with Augmented Reality,2018,6,"Language learning,
education,
augmented reality,
HCl,
experimentation",93,IEEE TRANSACTIONS ON VISUALIZATION AND COMPUTER GRAPHICS,"We conducted a fundamental user study to assess potential benefits of AR technology for immersive vocabulary learning. With the idea that AR systems will soon be able to label real-world objects in any language in real time, our within-subjects (N=52) lab-based study explores the effect of such an AR vocabulary prompter on participants learning nouns in an unfamiliar foreign language, compared to a traditional flashcard-based learning approach. Our results show that the immersive AR experience of learning with virtual labels on real-world objects is both more effective and more enjoyable for the majority of participants, compared to flashcards. Specifically, when participants learned through augmented reality, they scored significantly better on both same-day and 4-day delayed productive recall tests than when they learned using the flashcard method. We believe this result is an indication of the strong potential for language learning in augmented reality, particularly because of the improvement shown in sustained recall compared to the traditional approach.",Journal
43,Influence of Students' Entrepreneurial Psychological Capital on Entrepreneurial Exploratory Learning under the Background of Extended Reality (XR),2022,1,"extended reality (XR), students’ entrepreneurial psychological
capital, entrepreneurial exploratory learning",1,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"Students can carry out exploratory learning of entrepreneurial knowledge by reducing costs and improving efficiency. At the same time, this technology can bring new immersive experience to students and provide them with the opportunity to become the designer and creator of entrepreneurial knowledge. Based on the theory of emotion and social cognition, this study puts forward the research model of students' entrepreneurial psychological capital on entrepreneurial exploratory learning. XR technology also tests whether students' entrepreneurial psychological capital plays an intermediary role in promoting entrepreneurial exploratory learning. The results show that Cronbach alpha The coefficient is 0.844, the kmo value is 0.787, and the significance is 0.000, indicating that the designed questionnaire has good reliability and validity. XR technology plays a complete intermediary role in the positive promotion of students' entrepreneurial psychological capital society to students' entrepreneurial exploratory learning. This study is of great significance for understanding the important value of XR technology in exploratory learning, enriching the application research of psychological capital in the field of entrepreneurship, and innovating the teaching mode of students' Entrepreneurship Education from the perspective of psychological capital.",Journal
44,IMMERSIVE VIRTUAL REALITY (VR) FOR LEARNING IN ARCHITECTURE,2022,,,,EGA-REVISTA DE EXPRESION GRAFICA ARQUITECTONICA,"The use of virtual reality (VR) in project design can be a useful tool to facilitate collaborative remote work, decision-making, and spatial comprehension. Likewise, it can be a good instrument in the teaching-learning process of architecture. Here we analyze a collective remote work experience where architecture students used 3D modeling and immersive VR in a two-week activity led by professors. We seek to understand the impact of these technologies on the creative, learning, and representational processes of the students through surveys, interviews, and observations. The results show that time for training and experimentation is essential, that teaching teams require greater acceptance of change, that the final formats must be consistent with the tools used, and that there is a great difference in the perception of these technologies between men and women.",Journal
45,Using Virtual Reality as Support to the Learning Process of Forensic Scenarios,2022,6,"Forensic science
,
learning strategies
,
problem solving
,
virtual reality",0,IEEE ACCESS,"Virtual Reality (VR) represents a computer technology to create a simulated three-dimensional (3D) environment. Compared to the traditional user interfaces, VR places the user inside an experience. This research aimed to implement and examine modern learning strategies and activities with the VR for teaching crime scene investigation. The target group of this piloting study consisted of all students who enrolled in a crime scene investigation course at Al-Istiqlal University during the Spring semester of 2021. An online item-based questionnaire has been developed. It is used to assess students' perceptions towards using cooperative, discussion, field trip and problem-solving learning strategies and activities implemented with the VR technology. This study showed that VR is a helpful tool to practice modern learning strategies and skills in learning forensic science and crime scene investigation. We can conclude that using VR technology for educational purposes supports the learning process.",Journal
46,Introducing Atomic Structure to First-Year Undergraduate Chemistry Students with an Immersive Virtual Reality Experience,2021,5,First-Year Undergraduate/General Physical Chemistry Computer-Based Learning Atomic Properties/Structure Periodicity/Periodic Table,9,JOURNAL OF CHEMICAL EDUCATION,The present technology report is aimed at demonstrating how the implementation of VR chemistry simulations of atomic structure enhances learning among students. MEL Chemistry VR lessons were incorporated into the classroom for 43 first-year undergraduate ITMO University students. The visualization techniques provided the learners with two important opportunities: (1) connecting the macroscopic and tangible component of chemistry with the submicroscopic component (the real world and the world of molecules) and (2) connecting the submicroscopic component of chemistry with the representational one (atomic structure and orbital diagrams). The results show that implementation of the VR experience into the atomic structure laboratory enhances the learning experience of the students.,Journal
47,Mobile Augmented Reality Assisted Chemical Education: Insights from Elements 4D,2018,3,Elementary/Middle School Science Public Understanding/Outreach Computer-Based Learning Internet/Web-Based Learning Computational Chemistry,76,JOURNAL OF CHEMICAL EDUCATION,"This technology report aimed to explore preservice chemistry teachers' perception of mobile augmented reality (MAR) assisted chemical education. To this end, 15 participants were recruited from a Chinese university. They were provided access to an MAR chemistry learning app, Elements 4D, on their own mobile computing devices, and were instructed to complete some self-paced, hands-on activities. Data were collected through classroom observation and semistructured interviews. Subsequent content analyses revealed that participants generally had positive attitude toward the immersive chemistry learning experience. Meanwhile, challenges pertinent to the content knowledge and user experience were also discovered. The findings point out possible directions for more effective uptake of MAR assisted chemical education, and accentuate the importance of pedagogical thinking in developing similar educational apps.",Journal
48,Development of a Virtual Ecological Environment for Learning the Taipei Tree Frog,2021,3,environmental education; Taipei tree frog; virtual reality (VR); head-mounted display (HMD); game-based learning; situated learning,9,SUSTAINABILITY,"The learning objectives of environmental education emphasize investigation in real life to enhance students' skills and experiences in solving practical problems. This study used the virtual reality (VR) technology to develop a virtual ecological environment for learning about the Taipei tree frog, supported by situated learning and game-based learning design to enhance students' learning interest and motivation. Users can wear the head-mounted display (HMD) to explore the virtual environment for learning the Taipei tree frog's ecological behavior, such as foraging and mating as well as its habitats and predators. A teaching experiment was conducted to investigate students' learning effectiveness and the senses of presence and anxiety after using the virtual ecological environment. The experimental group (wearing the HMD) contained 40 students, the control group (using the desktop VR) contained 40 students, and both groups were used as samples to learn about the Taipei tree frog. The results indicated that using HMD VR and desktop VR could both enhance learning achievements, but the learning effectiveness of the former was significantly higher than that of the latter. The levels of anxiety for both groups were about the same, but the level of presence for the experimental group was higher than that of the control group because the HMD VR provided a more immersive experience than the desktop VR. The virtual ecological environment can save the time and effort of travelling to the natural habitat for observing the Taipei tree frog, and the design of role-playing game (RPG) can enhance learners' interest and motivation. Therefore, it is a useful tool for promoting environmental education.",Journal
49,Virtual Reality as an Immersive Teaching Aid to Enhance the Connection between Education and Practice,2022,5,emerging technologies; virtual reality; education; visualization; knowledge transfer,0,SUSTAINABILITY,"Maximizing knowledge transfer is one of the main factors of modern education. It is important to raise the probability that students can successfully apply acquired knowledge into practice. This article deals with virtual reality (VR) as an alternative method to provide students with a more immersive approach to semester assignments and their completion. In addition to information on paper, they are provided with an immersive virtual environment that interactively visualizes problems. To test this approach, a case study took place at the Department of Industrial Engineering, Faculty of Mechanical Engineering at the University of Zilina. Students were given a standard assignment for workplace analysis and optimization. However, in addition to papers containing all the necessary information about the workplace and its processes (a drilling workplace), the students could also put on a VR headset and walk through a virtual copy of the assigned workplace. Instead of relying on a 2D layout and a few photos, the students observed every detail of the workplace from any angle. Moreover, the immersive virtual workplace was interactive, and the students could interact with machine tools and replicate the real manufacturing process. With this new addition, the students completed the assignment and then filled out a short questionnaire questioning their satisfaction with the chosen approach. With positive feedback, the implementation of VR into the teaching process could further motivate students and make the transfer of knowledge into their future jobs easier.",Journal
50,An Immersive Context Teaching Method for College English Based on Artificial Intelligence and Machine Learning in Virtual Reality Technology,2021,1,,18,MOBILE INFORMATION SYSTEMS,"With the development of language research and language teaching, people realize that grammatical competence is an important part of communicative competence. In foreign language teaching, grammar teaching is not only necessary but also the main way to achieve the goal of communicative competence. This article mainly studies the virtual reality technology college English immersive context teaching method based on artificial intelligence and machine learning. The purpose is to improve students' English learning ability. Through the comparative teaching experiment of two classes of freshmen in a university, the experimental class conducted VR technology-based immersive virtual context teaching from the perspective of constructivism, while the control class adopted common multimedia equipment and traditional teaching methods. In the classroom, teachers occupy most of the time, students only passively receive a lot of information from teachers, they have little chance to participate in the exchange of information and express ideas in the target language, and most of the time they are ""immersed"" in the Chinese environment. The overall English level was also better than that of the control class, with an average score of 2.8 points higher. This shows that college English immersive context teaching combining constructivism theory and VR technology can indeed improve students' English level.",Journal
51,Use of augmented reality (AR) to aid bioscience education and enrich student experience,2021,7,augmented reality; structural biology; protein structure; biomedical science; biosciences; education; engagement,10,RESEARCH IN LEARNING TECHNOLOGY,"In recent years, development of new technologies designed to enhance user experience have accelerated, often being used in modern media such as in films and games. Specifically, immersive experiences, such as virtual reality (VR) and augmented reality (AR), have redefined how digital media can be delivered, encouraging us to interact with and explore our environment. Reciprocally, as the power of these technologies has advanced, the associated costs to implement them have decreased, making them more cost-effective and feasible to deliver in a variety of settings. Despite the cost reduction, several issues remain with accessibility due to the knowledge base required to generate, optimise and deliver three-dimensional (3D)-digital content in both AR and VR. Here, we sought to integrate an AR-based experience into a level-4 biochemistry module in order to support the delivery of university lectures on protein structure and function. Traditionally, this topic would comprise two-dimensional still images of complex 3D structures. By combining a breadth of subject-specific and technological expertise from across the university, we developed an AR-enhanced learning experience hosted on the Zapworks AR platform. AR enabled full illustration of the complexity of these 3D structures, while promoting collaboration through a shared user experience. Assessing the impact of the AR experience via a formative test and survey revealed that despite only a modest increase in test performance, students overwhelmingly reported positively on the engaging nature and interactivity of AR. Critically, expanding our repertoire of content delivery formats will support the forward-thinking blended learning environments adopted across the higher education sector.",Journal
52,3D virtual reality simulation in radiography education: The students' experience,2021,6,"Virtual reality, Radiography, Simulation, Radiography education",41,RADIOGRAPHY,"Introduction: Simulation forms a key element of undergraduate Radiography education as it enables students to develop their clinical skills in a safe environment. In this study, an immersive three-dimensional (3D) virtual radiography simulation tool was piloted in an undergraduate Radiography curriculum and user feedback retrieved.Methods: The 3D virtual simulation tool by Virtual Medical Coaching Ltd was introduced to first year radiography students (n = 105). This technology guided students through a comprehensive process of learning anatomy, radiographic positioning and pathology. Students then X-rayed a virtual patient in the VR suite using HTC Vive Pro (TM) headsets and hand controllers. Instant feedback was provided. An online survey was later disseminated to students to gather user feedback. Thematic and descriptive statistical analyses were applied.Results: A response rate of 79% (n = 83) was achieved. Most respondents (58%) reported enjoying VR simulation, whilst some felt indifferent towards it (27%). Ninety-four percent would recommend this tool to other students. The mean length of time it took for students to feel comfortable using the technology was 60 min (10-240 min). Most respondents (58%) desired more VR access. Students attributed enhanced confidence in the areas of beam collimation (75%), anatomical marker placement (63%), centring of the X-ray tube (64%) and exposure parameter selection (56%) to their VR practice. Many students (55%) advocated the use of VR in formative or low stakes assessments. Issues flagged included technical glitches, inability to palpate patient and lack of constructive feedback.Conclusion: Student feedback indicates that 3D virtual radiography simulation is a valuable pedagogical tool in radiography educationImplications for practice: 3D immersive VR simulation is perceived by radiography students to be a valuable learning resource. VR needs to be strategically implemented into curricula to maximise its benefits. (C) 2020 The College of Radiographers. Published by Elsevier Ltd.",Journal
53,IoT Networks and Digital Twin Technology-Based English Classroom Immersive Teaching,2022,2,,0,SECURITY AND COMMUNICATION NETWORKS,"In order to improve the effect of English classroom teaching, this paper builds an immersive teaching model of English classroom based on IoT networks and digital twin technology. Moreover, in order to reduce the cost of the system, simplify the system structure, and enable learners to observe the stereoscopic display image with the naked eye, this paper builds an immersive hemispherical projection teaching system, designs the overall structure of the system and various components of the hardware, and studies the projection image predistortion algorithm. In addition, this paper uses the immersive experience between virtual reality technology and immersive teaching as a connection point to design an immersive teaching based on VR and apply it to teaching practice to test the effect of immersive teaching, and perfect the immersive teaching design model based on VR. Finally, this paper designs an experiment to verify and analyze the performance of the system. The experimental results show that the English classroom immersive teaching model based on digital twin technology constructed in this paper is effective.",Journal
54,Adaptive Training of the Mental Rotation Ability in an Immersive Virtual Environment,2021,2,"Virtual reality, mental rotation, adaptive training, cognitive load ",2,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"Virtual reality (VR) opens new possibilities for the investigation and training of the mental rotation ability (MRA), which is an important factor in the development of technical skills in several fields. Adaptive designs of MRA training environments realised by virtual technology, which are investigated in this study, could offer promising potentials. For the evaluation of the effectiveness, the adaptive training environment is compared with the adequate randomised environment by assessing the mental rotation ability in both conditions before and after training. As a dependent variable, the performance and its improvement in the virtual mental rotation test (VMRT), as well as the cognitive load, are measured. In addition, possible gender differences and their influence on the training outcomes are determined. The study described here represents an innovative support option for MRA and provides an expandable empirical basis for VR-based adaptive trainings.",Journal
55,Effects of Virtual Reality training on medical students' learning motivation and competency,2019,6,"Virtual reality (VR), video based learning (VBL), text based learning (TBL)",67,PAKISTAN JOURNAL OF MEDICAL SCIENCES,"Objectives: To determine the need of contemporary immersive approaches (Virtual Reality) in teaching and training at medical sector. The main objective of this study was to explore the effects-of text, video and immersive technologies learning methodologies for participants' learning in public and private medical colleges and universities of Pakistan.Methods: In this quantitative research 87 medical students of 4th year from three public and five private medical colleges and universities participated. A laparoscopy operation was selected in consultation with senior medical consultants for this experiment. The experimental material was arranged in virtual reality, video and text based learning. At completion of each of which, participants completed a questionnaire about learning motivation and learning competency through the different mediums.Results: Statistical t-test was selected for the analysis of this study. By comparing the mean values of virtual reality, video, and text based learning methodologies in medical academics; result of virtual reality is at top of others. All performed model are statistically significant (P=0.000) and results can be applied at all population.Conclusion: Through this research, we contribute to medical students learning methodologies. In medical studies, both theoretical and practical expertise has a vital role, while repetition of hands-on practice can improve young doctors' professional competency. Virtual reality was found best for medical students in both learning motivation and learning competency. Medical students and educationist may select virtual reality as new learning methodology for curriculum learning.",Journal
56,Influence of Learning Engagement on Learning Effect under a Virtual Reality (VR) Environment,2022,1,"virtual reality (VR), learning engagement, learning effect, mediating effect",1,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"In this study, the differences generated by the scenario resources under a virtual reality (VR) environment to the learning effect and learning engagement were explored. Next, the influences of learning engagement (including emotional engagement and cognitive engagement) on the immediate test performance and the one-week-later test performance were tested. Finally, the mediating role played by the VR technology in the facilitating effect of learning engagement on the learning effect was analyzed. Results reveal that the emotional engagement (3.366) and cognitive engagement (3.854) in the experimental group under the VR environment are higher than those (3.325 and 3.618, respectively) in the control group. The difference between the control group and experimental group in the aspect of immediate test performance is significant at the 0.01 level (t=-3.388, p=0.002), and the same significance level is manifested in the aspect of one-week-later test performance (t=-3.126, p=0.003). Whether VR-based teaching was adopted plays a complete mediating role in the influences of cognitive engagement on the immediate test performance and the one-week-later test performance, but it does not play any mediating role in the influences of emotional engagement on the immediate test performance and the one-week-later test performance. The conclusions have important reference values for giving full play to VR-based teaching design, encouraging front-line teachers to participate in customizing VR-based immersive teaching resources, optimizing the VR learning contents highlighting emotional elements, and designing multichannel perceived knowledge contexts.",Journal
57,Exploring Kid Space in the wild: a preliminary study of multimodal and immersive collaborative play-based learning experiences,2022,12,,4,ETR&D-EDUCATIONAL TECHNOLOGY RESEARCH AND DEVELOPMENT,"Parents recognize the potential benefits of technology for their young children but are wary of too much screen time and its potential deficits in terms of social engagement and physical activity. To address these concerns, related literature suggests technology usages with a blend of digital and physical learning experiences. Towards this end, we developed Kid Space, incorporating immersive computing experiences designed to engage children more actively in physical movement and social collaboration during play-based learning. The technology features an animated peer learner, Oscar, who aims to understand and respond to children's actions and utterances using extensive multimodal sensing and sensemaking technologies. To investigate student engagement during Kid Space learning experiences, an exploratory case study was designed using a formative research method with eight first-grade students. Multimodal data (audio and video) along with observational, interview, and questionnaire data were collected and analyzed. The results show that the students demonstrated high levels of engagement, less attention focused on the screen (projected wall), and more physical activity. In addition to these promising results, the study also enabled us to understand actionable insights to improve Kid Space for future deployments (e.g., the need for real-time personalization). We plan to incorporate the lessons learned from this preliminary study and deploy Kid Space with real-time personalization features for longer periods with more students.",Journal
58,Assessing the difference in learning gain between a mixed reality application and drawing screencasts in neuroanatomy,2022,6,"anatomy teaching, computer-aided instruction, effectiveness of anatomy education, gross anatomy education, medical education ,neuroanatomy education, neuroscience",8,ANATOMICAL SCIENCES EDUCATION,"Augmented, mixed, and virtual reality applications and content have surged into the higher education arena, thereby allowing institutions to engage in research and development projects to better understand their efficacy within curricula. However, despite the increasing interest, there remains a lack of robust empirical evidence to justify the mainstream acceptance of this approach as an effective and efficient learning tool. In this study, the impact of a mixed reality application focused on long spinal cord sensory and motor pathways is explored in comparison to an existing resource already embedded within an active curriculum (e.g., anatomy drawing screencasts). To assess the changes in learner gain, a quasi-randomized control trial with a pre- and post-test methodology was used on a cohort of Year 2 medical students, with both the absolute and normalized gain calculated. Similar patterns of learner gain were observed between the two groups; only the multiple-choice questionnaires were shown to be answered significantly higher with the screencast group. This study adds important empirical data to the emerging field of immersive technologies and the specific impact on short-term knowledge gain for neuroanatomy teaching, specifically that of long sensory and motor pathways. Despite the limitations of the study, it provides important additional data to the field and intends to support colleagues across the education landscape in making evidence-informed decisions about the value of including such resources into their curricula.",Journal
59,Learning My Way: A Pilot Study of Navigation Skills in Cerebral Palsy in Immersive Virtual Reality,2020,7,,7,FRONTIERS IN PSYCHOLOGY,"Purpose: Human navigation skills are essential for everyday life and rely on several cognitive abilities, among which visual-spatial competences that are impaired in subjects with cerebral palsy (CP). In this work, we proposed navigation tasks in immersive virtual reality (IVR) to 15 children with CP and 13 typically developing (TD) peers in order to assess the individual navigation strategies and their modifiability in a situation resembling real life.Methods: We developed and adapted to IVR an application based on a 5-way maze in a playground that was to be navigated to find a reward. The learning process, navigation strategies, and adaptation to changes were compared between participants with CP and their TD peers and correlated with visual-spatial abilities and cognitive competences.Results: Most participants with CP needed more attempts than TD participants to become proficient in navigation. Furthermore, the learning phase was correlated to visual-spatial memory but not with cognitive competences. Interestingly, navigation skills were comparable between groups after stabilization. While TD participants mainly relied on allocentric strategies based on environmental cues, egocentric (self-centered) strategies based on body motion prevailed in participants with CP. Furthermore, participants with CP had more difficulties in modifying their navigation strategies, caused by difficulties in executive processes beyond the visual-perceptual impairment, with an inefficient shift between implicit and explicit competences.Conclusions: The navigation abilities in participants with CP seem to be different from their TD peers in terms of learning and adaptation to new conditions; this could deeply affect their everyday life and ultimately participation and inclusion. A regular assessing and focused rehabilitative plans could help to better navigate the environment and affect self-perception.",Journal
60,Augmented Versus Virtual Reality in Education: An Exploratory Study Examining Science Knowledge Retention When Using Augmented Reality/Virtual Reality Mobile Applications,2019,6,"augmented reality, virtual reality, immersion and presence, science education",160,CYBERPSYCHOLOGY BEHAVIOR AND SOCIAL NETWORKING,"The propagation of augmented reality (AR) and virtual reality (VR) applications that leverage smartphone technology has increased along with the ubiquity of smartphone adoption. Although AR and VR technologies have been widely utilized in the educational domain, there remains a dearth of empirical research examining the differences in educational impact across AR and VR technologies. The purpose of our exploratory study was to address this gap in the literature by comparing AR and VR technologies with regard to their impact on learning outcomes, such as retention of science information. Specifically, we use a two-condition (AR vs. VR) between-subjects' design to test college students' science-knowledge retention in response to both auditory and visual information presented on a Samsung S4 smartphone app. Our results (N = 109) suggest that VR is more immersive and engaging through the mechanism of spatial presence. However, AR seems to be a more effective medium for conveying auditory information through the pathway of spatial presence, possibly because of increased cognitive demands associated with immersive experiences. Thus, an important implication for design is that educational content should be integrated into visual modalities when the experience will be consumed in VR, but into auditory modalities when it will be consumed in AR.",Journal
61,Effect of Collaboration Mode and Position Arrangement on Immersive Analytics Tasks in Virtual Reality: A Pilot Study,2021,6,collaborative exploration; immersive analytics; group learning; virtual reality; 3D mathematics; 3D user interfaces,6,APPLIED SCIENCES-BASEL,"[Background] Virtual reality (VR) technology can provide unique immersive experiences for group users, and especially for analytics tasks with visual information in learning. Providing a shared control/view may improve the task performance and enhance the user experience during VR collaboration.[Objectives] Therefore, this research explores the effect of collaborative modes and user position arrangements on task performance, user engagement, and collaboration behaviors and patterns in a VR learning environment that supports immersive collaborative tasks.[Method] The study involved two collaborative modes (shared and non-shared view and control) and three position arrangements (side-by-side, corner-to-corner, and back-to-back). A user study was conducted with 30 participants divided into three groups (Single, Shared, and Non-Shared) using a VR application that allowed users to explore the structural and transformational properties of 3D geometric shapes.[Results] The results showed that the shared mode would lead to higher task performance than single users for learning analytics tasks in VR. Besides, the side-by-side position got a higher score and more favor for enhancing the collaborative experience.[Conclusion] The shared view would be more suitable for improving task performance in collaborative VR. In addition, the side-by-side position may provide a higher user experience when collaborating in learning VR. From these results, a set of guidelines for the design of collaborative visualizations for VR environments are distilled and presented at the end of the paper. All in all, although our experiment is based on a colocated setting with two users, the results are applicable to both colocated and distributed collaborative scenarios with two or more users.",Journal
62,Virtual Reality Simulation for Pediatric Airway Intubation Readiness Education,2020,3,"virtual reality, simulation, pediatric, airway intubation, medical education",6,CUREUS,"BackgroundThe objective of this study was to provide education to inexperienced trainees regarding preparation for airway intubation using virtual reality (VR) tutorial and comparison of performance with that of experienced trainees without VR training. We hypothesized that after the VR tutorial, junior fellows and residents will have comparable recall of the proper steps as experienced trainees.MethodsThis project was initiated in the pediatric intensive care unit from July 1, 2019, to July 30, 2019. Volunteer residents and pediatric critical care medicine fellows participated. The VR group completed a 19-minute immersive tutorial and then demonstrated learned skills with a traditional manikin. Non-VR group fellows listed steps to prepare for airway intubation from memory with scoring on a 24-point timed checklist.ResultsSeventeen subjects participated; two residents were excluded. The VR group had seven trainees (47%) and scored similarly to the other group based on checklist items (50.5% vs 50.8%, P=1).ConclusionVR technologies can be used for education in preparation for pediatric airway intubation. There was no difference in the performance accuracy between the two groups. Larger studies are essential to study benefits of VR in preparation and performance of airway intubation.",Journal
63,Virtual Situated Learning of Spoken English Based on Computer Simulation Technology,2020,1,"Spoken English, computer simulation, 3D virtual environment, situated learning",14,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"This paper aims to effectively improve the learning effect of spoken English, which is difficult to learn or practice. For this purpose, the 3D space was constructed by computer simulation and virtual reality (VR) technology. Then, the author designed a computer simulation software to create a 3D virtual learning environment, which is almost indistinguishable from the real world, for immersive learning of spoken English. A total of 100 students were selected to learn spoken English for 12 weeks in the virtual environment. The learning outcomes were collected and analysed by statistical and induction methods. The analysis results show that the virtual environment greatly stimulated the students' enthusiasm for spoken English learning, and improved the learning effect by 26 similar to 32%; the delay of the proposed software falls in the allowable range, but needs to be further improved. The research findings shed new light on the methods and theories of virtual situated learning of spoken English.",Journal
64,Virtual Reality-Integrated Immersion-Based Teaching to English Language Learning Outcome,2022,4,"Psychology, virtual reality, immersive language teaching, English language, learning outcome, language ability",2,FRONTIERS IN PSYCHOLOGY,"Globalization and informatization are reshaping human life and social behaviors. The purpose is to explore the worldwide strategies to cultivate international talents with a global vision. As a global language with the largest population, English, and especially its learning effect, have always been the major concerns of scholars and educators. This work innovatively studies the combination of immersion-based English teaching with virtual reality (VR) technology. Then, based on the experimental design mode, 106 students from a Chinese school were selected for a quasi-experimental study for 16 weeks (3 h a week, and 48 h in total). The collected data were analyzed by computer statistical software, and hypotheses are verified. The results showed that there is a significantly positive correlation between VR and immersion-based language teaching (0.851, p < 0.01). There is a significantly positive correlation between immersion-based language teaching and academic achievement (0.824, p < 0.01), and VR is positively correlated with learning outcome (LO) (0.836, p < 0.01). Compared with other state-of-art research methods, this work modifies the students' oral test through the analysis and comparison with the system database, and the students' learning effect is greatly improved. Finally, some suggestions are put forward according to the research results to provide an experimental reference for English teachers and future linguistics teaching.",Journal
65,Motivating Medical Students Using Virtual Reality Based Education,2020,4,"Virtual Reality (VR), Learning Motivation, Medical Simulations,
Intrinsic Motivation Inventory (IMI)",56,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,"An exploratory study to compare the effects of immersive virtual reality based training on the learning motivation of final year medical students as compared to video and text-based learning. Different modes of delivery of a training simulation of laparoscopy operation were presented to students and learning motivation corresponding to which were evaluated using the Intrinsic Motivation Inventory. Undergraduate medical students from 8 medical colleges and universities across Pakistan participated in this study. A total of 87 students with a mean age of 22.5 +/- 4 years were recruited for the study. Of these, 57.4% (n = 50) were males and 42.6% (n = 37) were females. Paired sampled t-test was chosen for the statistical investigation for the study. The tests were conducted by comparing means of text, video, and virtual reality learning methodologies in medical students. All applied statistical models have significance value p = 0.00 indicating a significant difference. Medical student motivation was observed to be the greatest in Virtual Reality settings as compared to video-based and text-based learning settings. Both theoretical and practical studies have importance in medical studies, whereas practical hand-on-practice can enhance medical students' professional proficiency. Virtual reality was at the top in User experience, perceived competence, usefulness, and motivation for final year medical students. It can play a signficant role in contemporary teaching and learning methodology with medical educationist and students can get benefit from this technology.",Journal
66,The Introduction of a Novel Virtual Reality Training System for Gynecology Learning and Its User Experience Research,2019,4,"Virtual reality
,
training/learning system
,
immersive and interactive design
,
user experience
,
acceptance and adoption of systems",35,IEEE ACCESS,"The researchers of this study designed a new virtual reality (VR)-assisted training system, IFOREAL, for gynecology students at their university and introduced it to potential trainees. Two versions of IFOREAL, each employing different devices, were developed. The consumer version uses a traditional LCD display and computer mouse, whereas the professional version utilizes a head-mounted display (HMD) and joystick controller for the virtual learning. Trainees watched simulated videos and interacted with the system to accomplish tasks. IFOREAL consists of several major learning modules of gynecology. This study used the normal spontaneous delivery module to research user experience and perceptions of the IFOREAL VR training system. The results suggested that most of the trainee's user experiences and perceptions of IFOREAL, using both the types of VR-assisted technology, were positively reported. Trainees who used the consumer version of IFOREAL perceived a stronger internal control, whereas trainees using the professional version perceived a better sense of virtual presence. Overall, trainees perceived the usefulness of the IFOREAL system which predicted their future intention to use the system and other similar VR-assisted training systems for learning. Furthermore, whether the virtual content of IFOREAL grabbed the trainees' attention predicted their future intenon to use professional devices of HMD/joysck for learning other subjects. The gender difference was also explored in the study. Generally speaking, female trainees gave better evaluations of IFOREAL compared to their male counterparts. They perceived a better internal control while using the consumer version than the professional version. Male trainees believed that the gadgets used in the professional version provided a better virtual presence and met their expectation of a virtual experience better. This study suggested that different versions of IFOREAL could serve trainees' different needs. Technology developers and trainers should tailor the application of different VR devices to assist with the training/learning in accordance with different conditions/trainees.",Journal
67,Learning History Using Virtual and Augmented Reality,2021,3,virtual reality; augmented reality; playful experience; education; history,3,COMPUTERS,"Master lectures of history are usually quite boring for the students, and to keep their attention requires a great effort from teachers. Virtual and Augmented Reality have a clear potential in education and can solve this problem. Serious games that use immersive technologies allow students to visit and interact with environments dated in different ages. Taking this in mind, this article presents a playful virtual reality experience set in Ancient Rome that allows the user to learn concepts from that age. The virtual experience reproduces as accurately as possible the different buildings and civil constructions of the time, making it possible for the player to create Roman cities in a simple way. Once built, the user can visit them, accessing the buildings and being able to interact with the objects and characters that appear. Moreover, in order to learn more information about every building, users can visualize them using Augmented Reality using marker-based techniques. Different information has been included related to every building, such as their main uses, characteristics, or even some images that represent them. In order to evaluate the effectiveness of the developed experience, several experiments have been carried out, taking as sample Secondary School students. Initially, the game's quality and playability has been evaluated and, subsequently, the motivation of the virtual learning experience in history. The results obtained support on the one hand its gameplay and attractiveness, and on the other, the student's increased interest in studying history, as well as the greater fixation of different concepts treated in a playful experience.",Journal
